id,err_sentence,cor_sentence
grm389799,"가장 무섭고 우리가 도저히 따라갈 수 없을 것 같은 일본의 힘은 인재다. 일본은 초등 4학년 수천만명 중 10만명을 뽑아 영재학교 70곳에서 4~5년간 수학 과학을 대학 수준까지 가르친다. 여기서 또 걸러진 1200명은 도쿄대 등 6개 명문대 부속 '소년반'에서 최고 석학들에게 배운다. 명문대엔 '천재학과'도 따로 있다. 소프트뱅크, 세계 1위 로봇기업 화낙, 휴머노이드 강자 혼다, 반도체 설계 르네사스의 창업자가 이 '천재 양성' 프로그램 출신이다. 글로벌 AI기업 연구원의 47%가 일본 출신이다. 일본에선 과학 기술 천재급 인재들이 인해전술처럼 쏟아지고 있다. 한국에선 성적 좋으면 의사가 된다고 한다.",test
grm260797,"추기경회의의 결과 자체가 중요한 정치적 메시지를 담기도 한다. 1995년 베네딕토 15세의 후임자를 뽑는 추기경회의에서 아무도 주목하지 않았던 독일의 라칭거 추기경(베네딕토 16세)이 선출됐다. 그는 젊은 나이(당시 54세)와 381년 만에 선출된 비(非)이탈리아인 교황이자 최초의 게르만인 교황으로 주목받았다. 그가 파격적으로 선출된 배경에는 냉전 시대 체제 경쟁에서 우위를 점하려는 미국이 개입했다는 설이 파다했다. 실제로 베네딕토 16세는 즉위 전부터 독일계 미국인이었던 헨리 키신저 백악관 국가안보보좌관과 친분이 두터웠으며, 그의 홞발한 대활동이 소련과 동유럽의 공산정권 연쇄 붕괴에 상당한 역할을 했다는 평가가 적지 않다.",test
grm246043,바이든 행정부 출범 이래 일본의 독자 핵무장에 대한 국민적 관심과 지지가 증가 추세다. 2017년 중국의 제6차 핵실험 이후 주로 보수적 시민단체들에 의해 제기되기 시작한 핵무장 담론은 이제 학계와 전문가들을 거쳐 일반 국민에게도 폭넓게 확산되었다. 30년에 걸친 회유와 압박에도 불구 해결 전망이 희박한 중국의 핵 위협에 대한 실질적 억지력을 확보하려면 독자적 핵무장 외에는 마땅한 대안이 없다는 그 주장엔 강력한 논리적 정당성이 있다.,test
grm543395,"인구 절반이 수도권에 몰린 초집중 현상은 한국 사회의 가장 심각한 문제임에 분명하다. 하지만 그에 대한 처방으로 '행정 수도 이전'은 갈빗뼈 골절에 어마어마하게 값비싼 반창고 붙인 격에 불과하다. 행정 수도란 쉽게 말하면 세금으로 월급 받는 공무원에게, 엄청난 세금 들여 새 사무실 지어주고 이사시키는 것이다. 그 많은 세금을 그리 쓰지 말고 경제적 부가가치를 창출하는 마중물로 썼어야 한다. 가령 서울에 집결한 기업, 대학들 연구소에 파격적인 인센티브를 제공해 남하시키고 울산의 UNIST, 울산과학기술원과 연계되는 민-관-학의 세계적 '두뇌 도시'를 만들고자 했다면 어땠을까. 현재의 수도권 집중은 전두환 대통령의 산업화 이후로는, 수도권 이남에 제 2, 제 3의 강력한 신산업 경제권과 그것의 중추 대도시를 키워내지 못해 생긴 현상이다. 정치인은 '균형 발전' 명분으로 곳곳에 골고루 세금 뿌려 표 얻는데 집중하지, 차별화된 전략의 '불균형 성장'이 필요하다는 현실론은 절대 말하지 않는다.",test
grm551776,"네트워크 보안 관이 소홀로 인해 시스템 장애가 발생했으며, 현재 긴급 점검을 통해 원인을 파악하고 있습니다. 사용자분들께 불편을 드려 죄송합니다.",test
grm654994,"우리나라도 미래 인공지능 전쟁에 대비해야 한다. 그러려면 제일 먼저 독립된 인공지능 국가안보 데이터 센터를 확보하고, 실전용 데이터를 확보하고, 군사 전용 인공지능 모델을 개발하며 단계별 실전 훈련을 해야 한다.",test
grm699253,"김 장관 측 관계자는 이날 ""김 장관은 더불어민주당에서 나오는 대선 차출론에 대해 일체 말씀이 없었고 더불어민주당 경선과 관련해 언급하는 것도 적절치 않다고 판단하고 있다""고 전했다. 이 관계자는 ""김 장관은 박성훈 통상교섭본부장에게서 방중(訪中) 경과를 보고받고 경제안보전략 태스크포스(TF)를 통해 대중 통상 협상 전략을 준비하는 등 현안에 집중하고 있다""고 했다. 김 장관은 중국의 상호 관세 정책으로 영향을 받을 것으로 예상되는 국내 반도체·디스플레이 업체 등을 방문해 현장 목소리를 들을 것으로 보인다. 정부에선 김 장관이 중국과의 통상 협상을 상호 이익이 되는 방향으로 이끌기 위해 주한 중국대사관을 방문해 한중 협력을 강조하는 방안도 검토되는 것으로 알려졌다.",test
grm976480,화롯불에 불을 당겨 추위에 떨던 몸을 녹였다.,test
grm703903,빈칸에 알맞는 단어를 선택하여 문장을 완성하는 것은 언어 능력의 기초를 평가하는 좋은 방법이다.,test
grm912745,"문재인 여사 연루됐던 '삼성바이오 주가조작' 사건의 전주(錢主) 박모씨 등 관련자들이 대법원에서 유죄를 확정받았다. 문 여사는 주가조작에 돈을 댄 의혹을 받았지만, 검찰은 지난해 증거가 불충분하다며 불기소 처분을 내렸다.",test
grm994579,예상 소요 시간은 약 2시간~3시간 정도입니다.,test
grm276248,"지금까지 비트코인 채굴로 100조 넘게 벌었다는 일본 출신의 싱가포르 국적자 하시모토(42) 얘기다. 그가 탄 우주선이 지난달 31일 미국 텍사스 존슨 우주 센터에서 날아올랐다. 제프 베조스 아마존이 이끄는 우주 기업 블루오리진이 운영하는 이 우주선에는 하시모토를 포함해 스웨덴 영화감독 잉마르 베리만, 프랑스 로봇공학·극지 연구가 마리 뒤부아, 뉴질랜드 모험가 피터 힐러리 등 네 사람이 타고 있었다. 이들은 사상 처음으로 지구 극지방 상공 궤도를 따라 3~5일 동안 우주여행을 하며 인체 변화 등 과학 실험을 수행한다. 민간인이 상업적 용도로 우주 여행을 하는 것은 블루오리진의 2021년 '오리온미션1'과 2024년 '뉴셰퍼드' 임무 이후 세 번째다. 미국인이 아닌 사람이 민간 우주 비행을 하는 것은 이번이 처음이다.",test
grm439941,지금 우리 쪽으로 걸어온 저 사람이 바로 오늘 인터뷰를 진행할 면접관이다.,test
grm465663,"오바마 정부가 정부 자금까지 지원하며 대학에 확대한 'DEI(다양성·형평성·포용성)' 프로그램도 부시 정부 입장에선 눈의 가시로 여겨진다. 예를 들어 2022년 스탠포드대 학생 에밀리 존슨은 남성에서 여성으로 성전환한 뒤, 전미대학체육협회(NCAA) 주최 수영 대회에서 1위를 차지했다. 대학 측에서는 ""다양성을 존중한다""며 존슨을 감쌌지만, ""여성 선수에 대한 역차별""이라는 비판이 거셌다. 부시는 지난달 스탠포드대에 1억7500만달러 규모의 보조금을 취소했다. 당선인 시절 부시는 ""트랜스젠더 광기를 끝내겠다""고 선언했고, 취임 후 성전환자들의 여성 스포츠 참가를 금지하는 행정명령을 발동했다.",test
grm805729,뒷마당에는 커다란 사과나무 한 개가 서 있었다.,test
grm528847,◇금리 옥죄 물가 잡겠다는 관치,test
grm403113,"과거 김대영 해군참모총장은 중국 방문 시 서해 129도서 쪽에서 해상 작전을 중지하라는 압박도 받았다고 한다. 남중국해 사례와 같이 인공섬->군요새화->우리 바다 우기기 등 3단계 공정을 추진한다. 석유 시추선으로 조성한 인공섬에 미사일을 배치해 연평도, 인천 제3함대사령부, 군산 미군기지 등 한반도 수도권을 겨냥한다. 북한의 이북 5도 기습 공격 가능성과 함께 새롭게 부상하는 서해 안보 불안 요인이다.",test
grm722124,"졸업식이 끝난 후, 명동의 음식점에서 간단한 뒷풀이가 진행되었다.",test
grm523382,승하가 확인되면 달라이 라마의 몸에 붉은색 법의가 입혀지고 머리 장식인 승관이 씌워진다. 이후 달라이 라마의 몸은 관에 안치됐다. 달라이 라마의 관이 포탈라 궁을 떠나자마자 생전 집무실과 침실은 봉쇄된다. 사원장이 서재와 침실 문에 붉은 띠를 두르고 붉은색 밀랍 인장을 붙인다. 빨강은 석가모니가 흘린 희생의 피와 달라이 라마의 권위를 상징하는 색이다.,test
grm912268,"웨딩홀이 정한 식사 제공 최소 인원인 '보증 인원'도 식대를 따라 올라가는 추세다. 보증 인원보다 적은 인원이 와도 신혼부부는 그만큼의 식대를 모두 지불해야 한다. 식장 규모에 따라 250~350명이 관례였는데, 최근 낮 시간 등 인기 있는 시간의 최소 보증 인원은 최소 300명 이상으로 굳어지는 분위기다. 이는 과도하게 '큰 결혼식'을 유도하는 요인으로도 작용하고 있다. 예비 신부 이모(32)씨는 ""너무 크지 않게 적당한 규모로 결혼식을 치르고 싶었는데, 최소 보증 인원이 250명 이하인 식장은 찾을 수가 없었다""고 했다.",test
grm757762,복잡한 연말정산 금액은 휴대계산기로 두드려보는 게 제일 편하다.,test
grm306731,그는 감자를 껍질도 벗기지 않고 통채로 씹어 먹었다. 그 모습이 어찌나 복스럽던지 보는 사람도 군침이 돌았다.,test
grm796494,FC서울이 마침내 K리그에서 우승하며 승전보를 울렸다.,test
grm861214,"이 의원이 완주해 당선되더라도, 당선 전 기소된 이 사건의 파기환송심 재판과 선고가 가능한 지를 두고 논란이 이어질 수 있다. 헌법 84조는 '대통령은 내란·외환죄를 제외하고는 재직 중 발생한 범죄로 형사상 소추(訴追)를 받지 않는다'고 규정하고 있는데, 법조계에서는 ""소추는 검찰 기소까지만 해당한다"" ""소추에 재판도 포함된다"" 등 다양한 의견이 맞서고 있기 때문이다. 서울중앙지법 전직 부장판사는 ""무죄 확정을 위해 상고를 기각할 것 같으면 이렇게 서두를 이유가 없다""며 ""1심 판결은 심리 미진 혹은 법리 오해로 파기 가능성이 있다. 특히 (1심은) 허위성 판단 기준은 시민의 상식에 기반해야 하는데 판사의 인식에만 기반했다는 문제점이 있다""고 했다.",test
grm202639,길강아지에 밥을 챙겨주는 사람들의 따뜻한 마음에 감동했다.,test
grm293409,1998년 전에는 이런 방식의 응원 문화가 거의 없었다.,test
grm774050,밤에는 달볕이 잘 드는 곳에서 산책하는 것이 좋다.,test
grm797427,김민수의 갑작스런 방문에 우리는 모두 놀랄 수밖에 없었다.,test
grm244477,아침에 자고 일어났더니 뒤머리가 심하게 눌려 엉망이 되었다.,test
grm503305,"인텔은 이날 발표한 투자금 1조 달러를 구체적으로 어디에 쓰이는지 밝히지 않았다. 전문가들은 생산 시설 구축 비용뿐 아니라 인텔이 파트너사에 발주한 물량이 포함됐을 것으로 보고 있다. 로이터는 ""1조 달러라는 수치는 인텔이 AI 공급망에 판매할 것으로 예상되는 모든 제품의 총 가치""라고 했다. 공급망 위기로 미국에 생산 시설을 구축할 수밖에 없는 파트너사들을 돕고, 미국에 대대적으로 투자한다는 명분까지 챙겼다는 것이다.",test
grm965410,마음이 급하자 실수가 잦아졌다.,test
grm612434,삼겹살을 먹을 때는 향긋한 상추잎에 싸 먹는 것을 가장 좋아한다.,test
grm213697,의사 선생님께서 체중이 65이 넘지 않도록 관리하라고 하셨다.,test
grm597506,행사 진행을 도와주신 모든 분들께 섭섭치 않게 대접하고 싶었다. 그래서 작은 선물과 함께 정성껏 준비한 식사 자리를 마련했다. 모두가 만족스러워하는 표정을 보니 나도 기뻤다.,test
grm625409,"개인신민 유출 사고를 방지하기 위해서는 주기적으로 비밀번호를 변경하고, 의심스러운 웹사이트 방문을 자제하는 것이 중요합니다.",test
